,회차,댓글
0,2,진짜 어머니들의 마음입니다 여러분들 ㅠㅠㅠㅠㅠㅠ너무슬프네요 진짜 더상황에서 페북에올린다는 여자들은뭐죠...
0,2,진짜 길거리에서 싸움난거 숨어서 찍고 페북에 올려서 그거 가지고 또 옆에 광고다는 놈들은 핵노답임
0,2,분량봐....개쩐다
0,2,"박태준 만화가, 쇼핑몰대표 출생1984년 9월 3일 소속그룹꽃미남 주식회사 소속아보키스트(대표) 신체177cm, 60kg 수상2012년 BNT Fashion Brand Award 베스트 모델상 예전엔 남자 얼짱 하면 박태준이었지만 이젠 웹툰작가 하면 박태준작가님이 되길 바랄게요 항상응원하겠습니다!"
0,2,베도때 부터 본사람들을 위해 분량을 많이 올려주신 작가님께 박수
0,2,엄마 어떻게 ㅠㅠ이 웹툰 울면서 봄
0,2,얘들아 레드카펫깔자 올라가셔야지
0,2,예쁜사랑하렴ㅋㅋㅋㅋㅋㅋㅋㅋ
0,2,와칼업뎃
0,2,그냥 눌럿는데 업뎃 ㅎㄷㄷ
0,2,분량쩜
0,2,"고민효에 대해 적은 사람입니다.고민효에 대해 궁금한 분들 얘기해드립니다.고민효는 제가 금모래초에 다닐때 학교에서 절 왕따시키던 애입니다. 어떨때는 창문으로 절몰아서 떨어질뻔도 하고사물함에 제머리를 넣고 문을닫아 목과머리를 다쳤습니다. 또 고민효의 청소구역인 화장실 청소는 대걸레대신 제머리카락,변기솔대신 머리카락으로비비고 걸레빠는 곳에서 걸레가더럽다며 머리를 넣고 제가 나오지못하게 숨도못쉬게하고 코와 입에 비누를 넣어 이상이 생기기도 하였습니다. 제가 머리를자르고 온날엔 대걸레없어서 청소누가하냐며 당장 가발을 사와 대걸레를 만들라며 했습니다.그리고 인간취급조차 받지못했습니다. 지금은 성인이 되어서 고민효를 찾아 만나려고 합니다. 다음주에 만날것입니다."
0,2,저 보라머리 남자가 엑스트란줄 알았는데외지주 역사상 가장 슬픈 에피소드를 갖고있고 4대크루 싸움 원탑이라고 종건에게 인정받은 남자라는걸 이땐 몰랐지..
0,3,재 수업시간에 자면 어떻게됨?
0,3,미친분량...
0,3,외모 지상주의 말그대로 외모가 바뀌니 보는 시선이 바뀐다
0,3,베도때 본사람 손
0,3,1위축하드려용~~~~♥♥-
0,3,금요웹툰 조회수 1등.. 역시 대단하시네요! 앞으로도 잘 부탁드려요!
0,3,태준이형 존경하게 되네..진짜 사회생활 하면서 업계 하나에서 성공하고 다른 일에 손대기 쉽지않은데 이렇게 웹툰 작가로 성공한게 정말 대단하다고 느껴진다. 젊은 사람치고 열정이 있는거 같아서 같은 남자로써 조금은 호감이다
0,3,작가님 그림그릴때 거울보고 그리셨겠지..ㅋㅋㅋㅋ
0,3,이거 할 시간에 배송좀해줘 3일째 입금완료라고만 뜨잖아
0,3,"아 베댓 칸 다찻네 못올라가겟지만 그냥 씀.. 고객센터 지난 2주일동안 몇십통 전화해도 안받아서 하도 답답해가지고 여기다 올린거고요, 아이디 아보키랑 같게해서 베댓 올라가고 방금 모르는번호로 전화와서 받앗더니 아보키 대표 박태준이네요. 늦은시간에 죄송하고 댓글보고 아보키에서 검색해서 전화드렸다고 배송문제 사과 받았고 내일 바로 담당자가 사과하고 발송한답니다. 한 10분정도 통화하고 훈훈하게 마무리했습니다. 만화하면서 인지도 높아지고 판매량 늘텐데 빨리 대책 마련하셔서 더 번창하길 바랄게요 직접 전화주셔서 감사합니다 박태준씨 화 다풀렸어요 ㅋㅋㅋㅋㅋ"
0,3,그림체도진짜마음에들고 무엇보다 분량이겁나게길다는게 마음에듭니다. 앞으로도쭉 1위행진이어가시길바랍니다 ㅣ ㅣ ㅣ ㅣ 1위축하드려요! ㅣ ㅣ ㅣ ㅣ ㅣ ㅣ ㅣ ㅣ ㅣ ㅣ
0,3,1위 축하드리고 핸드폰으로 직접 한겁니다~~ ◆◆ ♪ ◇◇◆◆ ◇◇ ◆◆ ♪ ◆◆ ♬ ◆◆ ♩ ◆◆ ♬ ▣▣▣▣▣▣▣▣▣▣
0,3,역시 외모는 모든 것을 바꾼다
0,3,슬범이 떡밥 여기나오넼ㅋㅋ
0,3,저런 몸이 눈꺼매져서 헤드들 패고다닐지 누가알았겠어..
0,4,분량줄일거라면서요...하... 이렇게 분량 많다고 좋아할거라고 생각하시면 크나큰 오예입니다
0,4,베도때부터봐서 저여자애머리바뀐줄안다 손
0,4,하늘이많이커졋내요..아물론키가요
0,4,중간에 코트입은거 정준영닮았다
0,4,박형석 박태준작가친구아님..???얼짱둘다
0,4,숑물 문의 여기에 하지 마라
0,4,이것만기다렷다 손
0,4,난 너희들이 어디서 스크롤을 멈췄는지 알지
0,4,솔찍히 불안불안 합니다. 초반은 별탈없이넘어가서 좋긴한데 나중되면 일이 터질듯합니다 예를들면 바뀐몸으로 잠이들고 원래몸으로 돌아오면 배가 고프겠죠. 주인공이 라면 끓이려고 가스렌지 불 켜놨는데 누군가가 바뀐몸을 깨우면 불이 켜진체로 원래몸이 잠이들겠죠 이런식으로 위기가 전개되지 않을까 싶습니다
0,4,못생긴애가말할땐시끄러추녀입열지마라냄새나이쁜애가말할땐아이고추웠구나 외모로사람평가하고외모에따라행동이바뀌는게진짜심하긴하구나...
0,4,쇼핑몰 문의는 쇼핑몰가서하세요ㅋㅋ 여긴 웹툰작가 박태준 웹툰댓글란임
0,4,분량봐ㄷㄷㄷ
0,4,금요일만기다렸다
0,4,"왠만하면 댓글 안다는데 작가의 말 보고 댓글 달게됨. 한가지 일 잘 하기도 힘든데 두가지 일 다 꾸려가면서 어느 하나 놓치지 않으려 노력하는 모습이 대단하다. 독자들 반응 댓글로 일일이 살피고 바로 홈페이지에 불편 게재란 개설한걸 보아하니 말뿐인 사람 아닌 실천하는 사람인 듯 하여 진실성이 느껴진다. 사람이 보통 무언가 하나로 이름나면 거만해지기 마련인데, 이 작가는 댓글 하나하나 세심하게 챙겨가며 독자들과 소통하고 겸손하기까지.. 어느 분야에서든 성공하는 사람은 다 이유가 있다는 말이 이런 사람을 두고 하는 말인가 싶다. 그림체도 좋고 스토리 또한 신선한 소재, 거기에 어마어마한 분량! 어디에 견주어도 뒤쳐지지 않는 고퀄웹툰 잘 보고 있습니다! 어느 하나 소홀히 하지 않고 노력하겠다는 그 말, 초심 잃지 않고 대성하는 작가가 되시길.. 노력하는 모습 보기 좋습니다! 두가지 일 다 잘 되시길 빌게요!! ps_ 아.. 이런 500자..ㅋㅋ"
0,4,"외모지상주의는 우리나라의 서구 선진국을 따라가기위한 몸부림에서 파생된 부작용입니다. 동양과 서양의 외모는 완전히 다른데 동양적인 외모는 후진적이고 경쟁력없는 것으로 인식된 것이죠. 서구인의 큰 키, 작은 머리통과 비율, 뚜렷한 이목구비같은것을 동경의 대상으로 삼고 번식에 유리한 지표로 삼게된것이죠. 아마 이 만화를 그린 작가도 외모지상주의를 비꼬기 위해 연재하고 있는게 맞겠지만..작가님 자신도 외모지상주의의 수혜를 본 얼짱 출신에 쇼핑몰도 ""잘생기고 예쁜""모델들만을 쓰고 있으니, 어찌보면 모순이라고 할수도 있겠네요."
