회차	댓글
4	난 너희들이 어디서 스크롤을 멈췄는지 알지
4	솔찍히 불안불안 합니다. 초반은 별탈없이넘어가서 좋긴한데 나중되면 일이 터질듯합니다 예를들면 바뀐몸으로 잠이들고 원래몸으로 돌아오면 배가 고프겠죠. 주인공이 라면 끓이려고 가스렌지 불 켜놨는데 누군가가 바뀐몸을 깨우면 불이 켜진체로 원래몸이 잠이들겠죠 이런식으로 위기가 전개되지 않을까 싶습니다
4	못생긴애가말할땐시끄러추녀입열지마라냄새나이쁜애가말할땐아이고추웠구나 외모로사람평가하고외모에따라행동이바뀌는게진짜심하긴하구나...
4	쇼핑몰 문의는 쇼핑몰가서하세요ㅋㅋ 여긴 웹툰작가 박태준 웹툰댓글란임
4	분량봐ㄷㄷㄷ
4	금요일만기다렸다
4	왠만하면 댓글 안다는데 작가의 말 보고 댓글 달게됨. 한가지 일 잘 하기도 힘든데 두가지 일 다 꾸려가면서 어느 하나 놓치지 않으려 노력하는 모습이 대단하다. 독자들 반응 댓글로 일일이 살피고 바로 홈페이지에 불편 게재란 개설한걸 보아하니 말뿐인 사람 아닌 실천하는 사람인 듯 하여 진실성이 느껴진다. 사람이 보통 무언가 하나로 이름나면 거만해지기 마련인데, 이 작가는 댓글 하나하나 세심하게 챙겨가며 독자들과 소통하고 겸손하기까지.. 어느 분야에서든 성공하는 사람은 다 이유가 있다는 말이 이런 사람을 두고 하는 말인가 싶다. 그림체도 좋고 스토리 또한 신선한 소재, 거기에 어마어마한 분량! 어디에 견주어도 뒤쳐지지 않는 고퀄웹툰 잘 보고 있습니다! 어느 하나 소홀히 하지 않고 노력하겠다는 그 말, 초심 잃지 않고 대성하는 작가가 되시길.. 노력하는 모습 보기 좋습니다! 두가지 일 다 잘 되시길 빌게요!! ps_ 아.. 이런 500자..ㅋㅋ
4	외모지상주의는 우리나라의 서구 선진국을 따라가기위한 몸부림에서 파생된 부작용입니다. 동양과 서양의 외모는 완전히 다른데 동양적인 외모는 후진적이고 경쟁력없는 것으로 인식된 것이죠. 서구인의 큰 키, 작은 머리통과 비율, 뚜렷한 이목구비같은것을 동경의 대상으로 삼고 번식에 유리한 지표로 삼게된것이죠. 아마 이 만화를 그린 작가도 외모지상주의를 비꼬기 위해 연재하고 있는게 맞겠지만..작가님 자신도 외모지상주의의 수혜를 본 얼짱 출신에 쇼핑몰도 "잘생기고 예쁜"모델들만을 쓰고 있으니, 어찌보면 모순이라고 할수도 있겠네요.
5	왜 아무도 엄마 폐지 줍는건 못본거지.. 빨리 어떻게든 되서 생활 호전됬으면, 잘 보고 있어요 작가님 :)
5	박스줍는일 기껏해야 얼마 안나오는데 아들앞에서 저렇게 힘 안든척하는 어머니 모습이 너무 짠하다. 어머니 사랑합니다.
5	엄마 짠하다...
5	아.. 진짜 엄마 아련하다... 아들이 걱정할까봐 폐지 줍는거 숨기고 산책한다고 하는 것 봐...
5	아진짜 저런놈들 잡아서 반죽여야함 분명 학교마다 저렇게 노는애들 분명있을겁니다 저도 중학교때 착하다는 이미지로 저런놈들한테 빵셔 많이당해봤습니다 지금은 성인되고 다커서 저런거 다 추억으로 묻어두고있는데 그때로 다시 돌아가면 분명 싸움걸었습니다 여러분 진짜 멋진 사람은 저런식으로 한무리에서 같이 힘주고 다니는놈들이 아닙니다 바로 이사람 저사람 가리지않고 사이좋게 지내는 사람입니다 또같은 사람새끼가 저러면 정말안되요 이글보시는 일진학생분들 조금이나마 이글보고 느끼시는거 있으셨으면 좋겠습니다. 베뎃 좋아요 눌러주세요 이웹툰 정말 최고네요
5	엄마 감동이다.
5	다른 만화는 일진미화하는게 강한데 이 만화는 양아치들 미화 안시키고 진짜 현실성있다..
5	업뎃속도쩐다 1등자격있음 짱짱맨
5	잘못은 지들이하고 신고할까봐 사진찍는거 소름돋는다
5	와.......칼업뎃 베이것소
5	예전에 작가님이 데뷔하기전에 친구인 기안84작가에게 아보키 브랜드 웹툰 '보세왕'을 맡겼음. 그런데 기안 84작가님이 박태준 작가남을 저 위의 신분증 캐릭터로 그려놨음 ㅋㅋㅋ 그거보고 박태준 작가님이 만화그려달랬더니 돈 줬더니 나를 이따구로 그려놨다고 투덜대심 ㅋㅋㅋㅋ 열심히 썼는데 배댓좀..
5	기안님 어쩌고저쩌고 하는거 뭔말인지 모르겟음
5	저게 합의냐. 일진 동경하는 어린애들도 이거보고 깨달았으면 좋겠다.
5	평소에 왕따당하는애나 페지줍는 아주머니나할머니 보면 보지도못한채 그냥지나치는주제에 만화라고 다른사람들이보는뎃글이라고 위선떠는거봐라 역겹다. ㅋㅋ
5	ㅋㅋㅋ 이때까지만해도 진짜 현실적이였는네 지금은 4대크루니뭐니 급식놈들이 건달짓거리나하고있고 내용이 왤케산으로갔냐
6	형석아.. 나중에 잘되서 어머니한테 잘해드려야한다...
6	진짜 장난으로라도 어머니 욕하는거보면 정말 꼴보기 싫더라
6	업뎃이 주먹보다 빨랐어
6	칼업뎃...기안아 보고 배워라
6	저기있는 재열이란 학생도 형석이랑 같은능력을 지닌 거 같습니다.저능력도 선택받은인간 한테 주어지는 능력같습니다.이렇게 갈등으로 이어질거같네요 즉,외모지상주의말이죠. 하지만 베댓도 선택받은자만이갈수있죠. 이걸로 전 추천과갈등이 이어질거 같습니다.
6	미진이는 그나마 괜찮은 애인듯저 여우같이 생긴놈 버리고 주인공이랑 잘됬음 좋겠다
6	마지막컷은 왜 옷을 안입은거죠???감사합니다♥♥♥
6	키커야되는데 일찍자게 해주셔서 감사합니다ㅎ
6	재미있다.. 진짜.. 첨에 작가님 쇼핑몰 하신다길래 웹툰 하는거 안좋게봤는데 죄송해요. 정말 열심히 그리시는게 느껴집니다. 앞으로도 잘 부탁드려요
6	아무 상관도 없고 지들한테 피해준적 없는 형석이 부모님까지 모욕하다니;; 진짜 개념이 탑재가 안되어 있네
6	제가 봣을때는 주인공이 처음에는 얼짱의 모습이 좋아서 그몸만있었으면 좋겠다는 생각을하다가결국 나중에는 엄마생각하면서 아무리 얼짱의몸이 다른사람들이 좋아하는 몸이라도 엄마가 낳아주신 자신의 몸이 진짜 몸이라고 생각하고 원래 몸을 선택할것같네요 이 제목이 외모지상주의라는것도 외모와 겉모습을 중요시하는 사회와 엄마의 사랑이 담겨있는 원래 자신의 몸 이 두가지를 가지고 갈등을 하는 그런 내용일듯합니다 뭐 몸이 바뀐이후로 학교일진들하고 싸우고 다른사람들한테 인기많고 이런 내용들보다는 진짜 최종 스토리는 두가지 몸중에서 어떤것을 선택하냐 이런 내용일것같네요 그리고 마지막에는 원래 자신의 몸을 살을빼고 키가커서 진짜 얼짱이 될것같네요 근데 저 노랑머리가 신경쓰이네요....스토리상 뭔가 중요한 역할일듯하네요 물론 이것들은 그냥 제 개인적인 추측일 뿐입니다 제가 말한내용이 아닐수도있고요^^
6	남의 부모님욕하는것들은 자기 부모님욕하는거랑 똑같다.진짜
6	내가 더 느리다에서 뿜었다
6	칼업뎃 보소
6	권투배운사람은 시비를 안거는게 예의인대 노답 이진성
7	재열이는 게이인듯. 주인공한테 반해서 저러는게 분명함.
7	재열이는 아마 주인공처럼 몸이 두개 였을거같습니다 처음엔 주인공 처럼 신나게 지내다가 어느시점에 원래몸이 사라진거 같아요 나중에 주인공 한테 둘중하나의 몸을 선택해야 할때가 있을거 같구요 재열이는 그시점에 새로운 몸을 택했지만 나중엔 친가족이 못알아보고 나중에야 후회한 케이스 인거 같아요 마지막엔 결국 주인공이 힘들게 고생한 어머니 생각이나서 원래몸을 택할거 같습니다
7	작가님이 진성이 보다 빠른 듯
7	∩∩　　　（´･ω･） 　　 ＿|　⊃／(＿＿_ 　／　└-(＿＿＿_／ 　￣￣￣￣￣￣￣ 　나...나도 자고 일어나면... 　　 ⊂⌒／ヽ-、＿_ 　／⊂_/＿＿＿＿ ／ 　￣￣￣￣￣￣￣ 　 ∧ ∧　　　　　　 　( ´･ω･)　........ 　/　　⌒ヽ　　　 （人＿__つ_つ
7	근데 화장실 한칸에 3명이들어가네이불깔고 누워도 될듯
7	근데 1환가 2화에서 보면 미용실에서 안경벗어보라고 할때와 새 몸으로 바뀐 그날밤 둘다 눈을 보여지는 컷이 나오는데 , 그 두개가 정확하게 똑같더라고요 . 그런것으로 짐작해 보아 지금 저 몸은 원래 몸을 다이어트하고 안경도 벗으면 그렇게 되는것이 아닐까 싶어요 . 그리고 나중에는 원래의 몸도 열심히 다이어트를 해서 새 몸처럼 훈남이 될것 같네요ㅎ 그럼 형석이는 그렇게 잘생겨질수 있을지 몰라도 전 배댓이 될수 없겠죠..
7	어린 학생들 보고 오해할까봐 댓글 답니다. 명치는 사실 심장이 있는 부위로 (심장은 왼쪽이 아니라 가운데 있습니다) 명치를 고교생 정도 힘이 되는 애들이 쎄게 때리게 되면 사망에 이를 수 있습니다. 즉, 선빵=명치=감옥 코스로 직행할 수 있으니 싸울 때 명치는 때리는 거 아닙니다. 실제로 군대에서 구타사에 이른 경우 명치를 쳐서 사망에 이르게 만든 경우가 다수였습니다. 심장마비 or 파열 옵니다.
7	형석이가 사람 때려본게 이번이 처음이죠? 자신이 태어나서 처음 싸워서 이긴 상대가 중학 권투대회 우승잔데.. 이제 첫화에 형석이 왕따시키고 괴롭혔던 이태성은 형석이한테 아무것도 아니겠네
7	베도때부터 보신분들이라면 알테지만 스토리 전개 흐름상으로 봐선 다음주면 베도분량이 끝납니다ㅎ 수고하셨어요 작가님
7	장현은 작가님 쇼핑몰 모델임 ㅎㅎ
7	꽃미남밭=1.박형석 2.재열 3.장현 4.박태준 작가님인데 저 장현이라는 애도 자고 일어났더니 잘생긴 장현이 되어있던걸까요... 저게 원래 모습이면 대박인데
7	진성이처럼업뎃도빠르군요
7	진성이보다 주인공이 더 빨라
7	18화 베댓보고 온사람 조용히 추천
7	이때까진 장현이 존나 쎈줄 몰랐지
8	혹시 저 여자도 두몸을 가진게 아닐까 생각이 듭니다
8	작가님 몰폰중인데 일찍자게해주셔서감사해요
8	저 뚱땡이 여자도 두개의 몸을 가진거 같습니다. 아니 2인분의 몸이라고 해야 맞는 말인가?
8	하..나는 진짜 이거보고 눈물이 날려한다..어떻게 고등학생이 무슨 깡패도아니고 저렇게추악하고 악마같은 짓을 할수있지?단지 힘이 약하다는 이유에서일까?내가 이웹툰을 보면서 느낀건 타인이보기에 잘생긴사람들에 대한 어떠한 집착이나 선입견이 얼마나 사람을 달리 할수 있는지에 대한 것이다.많은 사람들이 외모가 뛰어나면 뭐든지 잘할것 같은 어떠한 굴레에서 벗어나지 못한다는 생각이든다.겉모습보다는 내면이 중요하다는 말을 많이듣는 우리들이지만,우리의사회는 아직 전혀 그러지 못하다는 것을 다시한 번 깨달았다.자신이 외모에 집착하지 않는다고 하는 사람도 의식적으로나 무의식적으로나 외모에 대해 많이 고민하고 시간을 할애한다.나를 포함한 주변의 많은사람들이 그랬기 때문이다.물론,지금은 나스스로 외모에대해 긍정적으로 생각하고 전보다 집착하지 않게 되었다.쉽지만은 않았다.그러지않으려해도 사회적으로 미남미녀를좋아하는걸 넘어서는 수준이기 때문이다.한가지만 명심하자.자신의'진짜'가치는 포장지인가,선물의 종류인가?
8	진짜 빠르다 12시전에자겟다
8	개나소나다 두개의몸을 가지고있냐
8	다들 재열이가 두몸을 가지고 있다고 생각하는데 정 생각이 다릅니다. 재열이는 잘생김으로 인해 오히려 피해를 본 경험이 있는 애가 아닐까 생각합니다. 그 증거로 1. 늘 눈를 가리고 주목받지않게 과묵하다. 2. 주인공이 처음 전학와서 인사할때 관심받으니까 뭔가 생각에 잠김 3. 잘생긴 주인공이 당하려할때 껴들고, 주먹을 잡는 순간 놀란다. (이부분으로봐서 재열이는 괴롭힘을 당한 후 주목받지않는법 운동 등 시작 가능성 재기) 4. 내용 상 잘생긴 사람또한 그 주목도로 인한 무언가의 피해 혹은 괴롭힘을 받는 것이 나와야함(그래야 나중에 원래몸과 잘생긴몸 선택시 주인공의 고민이 심화됨).
8	칼업뎃 부들부들....
8	베댓말듣고 네이버에 김인곤쳣다가 전국회의원님나와서 놀랏어;;
8	오타 났네요 김인권...ㅠㅠ이라고 한건데..
8	저 이어폰 낀애 김인곤 안닮았어요? 저만 그렇게 생각해요?
8	키 큰 하하 같다...
8	대포통장[마무리]보고왔습니다. 빛현도..당신이 옳았습니다. 지호를 끝가지 자살의 길로 몰고가주시지
8	처음 보는 사람: 지호 어떡해... 너무 불쌍해 이 나쁜 놈들 재탕 중인 사람: 저때 현도가 아주 개박살을 냈어야했어
8	네, 진짜 몸이 두 개였다고 합니다. 두번째 베댓 지금 뭐 하고 있을까.
9	작가님 너무좋아 사랑해요
9	싫어요 누르는건 불효자가아니라 어떻게든 베댓될려고 하는게 눈에보여서 그런거에요..
9	분량조절실패 해주셔서 감사합니다.
9	칼업뎃 지린다
9	오늘도 칼업뎃 이십니다
9	저렇게 집에 몸 바꿔 재우며 사는것도 잠시일텐데.. 만약에 형석이 엄마가 형석이를 보고싶은마음에 형석이 보러 형석이가 사는집에 방문하면 형석이 몸 어케 숨겨...
9	외모지상주의가 영화 or 드라마로 나오면 캐스팅은 누가 될까요?
9	ㅋㅋㅋ결국 형석이랑 박지호랑 바스코 이진성 호빈이 장현 얘네들 다 친구되겠네요. 진성이도 형석이가 바스코가 손을 힘으로 치우는 거 보고 좋다고 웃고ㅋ *^^* (설마 형석이를 장현과도 싸우게 하진 않겠죠? 장현:싸움은 됐고 잘생겼다면 내 헤어모델이나 부탁해볼까 랬으니 친하게 지낼듯ㅎ
9	솔직히요.. 형석이가 원래몸도 운동 꾸준히 해서 학교갈때의 몸처럼 바꾸면 되지 않나요
9	8화 조연급 등장인물 중에 장현 혼자 급식실 안 왔는데 미용실에 일하러 갔나..?? ㅋ 형석이가 지금 저 모습으로 다시 투블럭하면 존잘이겠어요...
9	낄낄 베댓끼리싸우네 자기들도 베댓이면서
9	진성이가 웃는 이유는 내가 발린 놈이 허접곱상하기만한게 아니라 바스코보다 힘이 쎄다. 뭐 이런 사실때문이겠죠. 내가 약한게 아니라 전학생이 겁나 쎈거다 라는게 어필되겠죠.
9	ㅋㅋㅋ그럼요당연하죠님 ㅋㅋㅋㅋ 어제 안보여서 걱정햇는데 여기서 또 베댓지배하나옄ㅋㅋㅋㅋㅋㅋㅋㅋ 아 ㅋㅋㅋㅋㅋ 어떻게 볼때마다.여러개베댓임 ㅋㅋㅋㅋㅋㅋ 난 그럼요당연하지님 블로그 구경좀 하다 자야겟음
9	잘 모르시는 분들이 많아 적어봅니다.작가님은 랩퍼들을 롤모델로 캐릭터를 많이 그리신 것 같은데 진호빈 = 빈지노 바스코 옆의 친구 두명은 민두 = 딥플로우 모히칸 = 제이통 으로 보입니다. 눈에 익은 얼굴들이 보여서 더 재밌네요. 모두가 알 수있게 베댓 부탁드립니다.
9	범재는 바스코한테 왜 눈높이당함 이 만화 설정 이상해;
10	잠깐 근데 주인공 헤어 모델시켜준다는 장현이라는 애가 주인공 원래 몸 헤어스타일 김정은 컷으로 만든 사람 아님???
10	왜 작가님 힘내시라는 베댓은없고....항상 재밌는 웹툰 칼업뎃까지 해주셔서 감사합니다 작가님은 사랑입니다♥
10	마지막 베댓 반박있습니다.세번째 형석이가 술에 취해 편의점 알바 늦을거라는데 형석이 편의점 휴무라고 했습니다. 똑바로 읽어주시고 아무리 베댓이 되고 싶어도 좋아요도 의견써야 눌러진다는 헛소리는 하지 말아주세요
10	주인공은 속도없나봐.. 어머니욕하셨던애들이랑 히죽댈기분이 나나ㅜ
10	형석이의 눈빛만을 달라지지 않았네요. 그래 저 초롱초롱한 눈빛!
10	" 나 술 끊었어. 갈게 " 라고 하고 가라 제발
10	하늘이는 왜 남자들 사이에서 꼭 저러고 싶을까?
10	고등학생 사이즈가 아냐. 저건...수...술이다...!!
10	제가 추리 하나 해보죠 일진미화가 점점 심해짐에따라 여성부가 생x랄을 떨 것 같습니다
10	진짜이상한점하나 주인공폰2걔임? 들켯을톈뎌 ㄷㄷ
10	형석이가 수..술이다라고 말하는 걸 슴가 수술 했다고 하는 줄..ㅋㅋ 좋아요 누르시 마요 저 변태 되요
10	어머니 욕했던 새끼들이랑 쳐노냐
10	오늘 나온다 하...행복하다♥
10	장현이는 저기 싸우는애들보고 피식하겟다
10	저땐 몰랐지... 저 순수하게 생긴 보라머리가 개싸움으로 종건을 압도할지
11	진성이취한거좀귀엽다ㅋㅋㅋㅋ의왼데??
11	나여자인데 왜 가슴컷에서 손이 멈춘거지..
11	저거 형석이가 저새끼들 바른다에 내 두쌍의 부레옥잠을 건다
11	분량이 적은것도 아닌데 날자꾸 애타게만들어
11	저여자는 가슴을 드러냈는데도 드러나지가않음 참 기묘하죠?
11	학생들이 저렇게 술먹으면서 떠드는 것도 꼴보기 싫지만 어른들이 자기보다 어린 애들한테 억지로 무게잡고 어른행세하는 것도 진짜 싫음.
11	저것이 그 유명한 가슴 테이블에 걸치기... 대한민국 여성의 5%도 못한다던....
11	배댓님 틀리셧어요 ㄱ. 갈릭치킨 ㄴ. 네네치킨 ㄷ. 닭 ㄹ. 로스트치킨 ㅁ. 맥치킨 ㅂ. 바베큐치킨 ㅅ. 스노윙치킨 ㅇ. 양념치킨 ㅈ. 점보치킨버켓 ㅊ. 치킨 ㅋ. 콜라 ㅌ. 통큰치킨 ㅍ. 파닭 ㅎ. 후라이드 치킨
11	외 모지상주의 모 가잘났다고 지 잘난건 알아가꼬 상 식도 없이 얼굴만잘나서 주 제파악못해도 잘생겨서 납득되는한국 . . . . . . . . 의 사선생님 여기에요..
11	소주에ㄱ 김치찌개 ㄴ 낙지볶음 ㄷ 닭볶음탕 ㄹ 라면 ㅁ 모듬튀김 ㅂ 보쌈 ㅅ 삼겹살 ㅇ 어묵탕 ㅈ 제육볶음 ㅊ 참치찌개 ㅋ 케이준치킨샐러드 ㅌ 통삼겹김치찜 ㅍ 파전 ㅎ 회 먹고싶다.. 헷.. 얘들아 안주는 먹자
11	성인이 되면 술마시라고 했는데 이제 20살 술을 마실수 있는데 마실일이 없어요.참 기묘하죠?
11	뭐든 과하면 독이 되죠. 술이든 담배든. 특히 술의 경우 처음부터 쉽지 않겠지만 적정량 남에게 피해 안 줄 정도로만 마시면 별 문제 없습니다. 물론 성인 되서라는 가정 하에 말입니다. 청교도 같은 베댓이 맘에 안 들고 그걸 또 옹호하는 분들 말도 안 들어서 남깁니다. 그딴 식으로 다 안 된다고 하시면 모든 욕망을 다 거세한 채로 사십쇼.
11	마지막 베댓님 ㅊ은 치킨이죠
11	베뎃님 알파벳도 있어요 A Chicken 치킨 Beer&Chicken 치맥 Chicken 치킨 Delicious Chicken 맛있는치킨 Eastern Chicken 동양식치킨 Fried Chicken 후라이드치킨 Ganjang Chicken 간장치킨 Hot Sauce Chicken 매운치킨 I Love Chicken 난 치킨을 사랑합니다 Just Chicken 그냥치킨 KFC 갓할배 Le Poulet 프랑스어:치킨 Mild Chicken 부드러운치킨 Night Meal Chicken 야식치킨 Ordering Chicken 치킨주문 Padark 파닭 Quick Delivery Chicken 빠른배달치킨 Red Chicken 빨간치킨 Soonsal Chicken 순살치킨 Tongdark 통닭 Umai Chicken 일본어:맛있는치킨 Vodram Chicken 보드람치킨 Western Chicken 서양치킨 Xhicken 중국식발음 Yangnyunm Chicken양념치킨 Zㅣ금먹는치킨
11	치킨엔 콜라가 맛있던데
12	저는 추워서 브라찹니다(쥬륵
12	기안고짱이라니우기명데려와
12	ㅋㅋㅋㅋ유빈이 이름 거꾸로하면 빈유 ㅋㅋㅋㅋㅋㅋ
12	그래요.. 추워서 입고다녀요
12	가슴커서 살았다는 기사를 2건 봤습니다 가슴에 총알이 박혀서 죽지않은것과 하수구에빠졌는데 가슴덕분에 떨어지지않은것 작아서 살았다는 기사는 본적이없네요 뭐 그렇다는거죠
12	이봐요 가슴크면얼마나 불편한지 앎? 가슴크면 발톱깍을때 불편하고 엎드릴때도 불편하고 책상가까기앉을 때도 불편하고 여름에 습기차도 불편하고 뛸때도 불편함. 그러니까 나도 좀 불편하고 싶다.
12	칼업뎃 봐.... ㄷㄷ
12	겉이 꽉찬여자보다는 속이 꽉찬 여자와 사귑시다
12	베댓님 저 찾으셨나요
12	보다가 내이름 나와서 뜨끔하고 한번더봄ㅋ
12	베댓 피노키오님 '속이 꽉찬 여자를사귑시다' 라고 하셨는데 거짓말 치지 마세요.. 글래머 몸매에 얼굴 예쁘면 눈돌아가실거면서..지금쯤 코 길어지셨겠네..
12	아 담주에 친구랑 사우나 가는데 추우니깐 걸치고 가야겟지
12	자연스럽게 흉기를 만들고 안에 있는 술이 아깝네
